压力测试,场景,参数值,影子碳价_CNY_per_kg,协同_任务完成率_%,协同_SLA满足率_%,协同_现金成本_CNY,协同_其中绿电溢价_CNY,协同_调度碳代理_kgCO2,协同_位置法碳排_kgCO2,协同_市场法碳排_kgCO2,协同_单位成本_CNY_per_1000CU,协同_位置法单位碳排_kg_per_1000CU,协同_市场法单位碳排_kg_per_1000CU,协同_绿电占比_%,协同_绿电利用率_%,协同_平均延迟_h,协同_求解时间_s,成本优先_任务完成率_%,成本优先_SLA满足率_%,成本优先_现金成本_CNY,成本优先_其中绿电溢价_CNY,成本优先_调度碳代理_kgCO2,成本优先_位置法碳排_kgCO2,成本优先_市场法碳排_kgCO2,成本优先_单位成本_CNY_per_1000CU,成本优先_位置法单位碳排_kg_per_1000CU,成本优先_市场法单位碳排_kg_per_1000CU,成本优先_绿电占比_%,成本优先_绿电利用率_%,成本优先_平均延迟_h,成本优先_求解时间_s,相对成本优先_现金成本变化_%,相对成本优先_调度碳代理下降_%,相对成本优先_位置法碳排下降_%,相对成本优先_市场法碳排下降_%,相对成本优先_绿电占比变化_pp,相对成本优先_SLA变化_pp,节点占比_安徽_芜湖_%,节点占比_江苏_长三角_%,节点占比_内蒙古_和林格尔_%,节点占比_四川_天府_%
1_碳价压力,影子碳价=0.00元/kg,0.0,0.0,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07109963800030528,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.0756388940008037,0.0,-0.0,-0.0,-0.0,0.0,0.0,23.04724233151728,7.30427643854019,23.35273776649999,46.29574346344255
1_碳价压力,影子碳价=0.05元/kg,0.05,0.05,100.0,100.0,583.0578855686697,6.363802749369716,263.0497516481697,627.1370426550001,278.2167526905071,145.05009965138436,156.01588244271963,69.21331260803223,70.05583618770468,63.06459187377947,0.9071050078364056,0.07963434999965102,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.06976427100016735,1.423538584880113,58.03567181009553,-0.04717553666490393,70.08490054526774,70.05583618770468,0.0,23.04724233151728,6.07632410378884,24.58069010125134,46.29574346344255
1_碳价压力,影子碳价=0.10元/kg,0.1,0.1,100.0,100.0,583.5127940943588,6.422062976558766,254.8739065763206,623.5728082950001,271.6109406113048,145.1632694216879,155.12919080901563,67.56995313364301,70.74644634912433,63.641944377440105,0.9071050078364056,0.09754791799969098,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07106899100017472,1.5026704061791623,59.339964415107296,0.5214267885287943,70.79518676425916,70.74644634912433,0.0,22.57656043983382,4.910565465084459,25.695947458765577,46.81692663631615
1_碳价压力,影子碳价=0.25元/kg,0.25,0.25,100.0,100.0,585.8225517033877,6.512358872187813,243.63196257630665,619.28929908,263.5077911228035,145.7378788724004,154.0635617284872,65.55409386839902,71.65376178258691,64.536766864873,0.9071050078364056,0.11824497199995676,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.0699482079999143,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0,21.390153494041844,6.5693957260492075,24.748613080578153,47.2918376993308
1_碳价压力,影子碳价=0.50元/kg,0.5,0.5,100.0,100.0,594.1070959022924,6.749949210492378,216.11954202078127,595.85847312,240.1614213225246,147.7988645675778,148.23456305694455,59.74610575976431,74.19170151687459,66.89126123065367,0.9854790158469536,0.10094709399982094,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.08064318400010961,3.345560460138074,65.52244838557321,4.942694816959603,74.17677859231834,74.19170151687459,0.0,21.390153494041844,4.409035500161703,23.44975993233326,50.7510510734632
1_碳价压力,影子碳价=1.00元/kg,1.0,1.0,100.0,100.0,625.1036169819024,7.311744992602511,152.75391364083006,585.7831919399999,183.2081165246826,155.51001740973268,145.7280871557579,45.577559649894916,80.32278127707059,72.458596220522,1.1648381720028858,0.2071022330001142,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07810509000046295,8.737438229956211,75.63116739646341,6.550004473760155,80.30065057639837,80.32278127707059,0.0,13.120382118068513,8.523024106276589,26.893300495061823,51.463293280593085
2_电价压力,电价×0.80,0.8,0.25,100.0,100.0,477.4856452351462,6.546670869066238,236.2223085905708,612.78004716,260.6893991231579,118.78638834618161,152.4442239868647,64.85294900693034,71.97777655294956,64.87679501545114,0.9078488444411276,0.08780060499975662,100.0,100.0,468.88394963016003,0.0,632.6430531,632.6430531,929.3257512000002,116.64650337840139,157.38563900291066,231.19281319501462,0.0,0.0,0.8928651391894918,0.06578256600005261,1.8345041692663806,62.66104441784933,3.1396860903901063,71.94854454570527,71.97777655294956,0.0,21.390153494041844,6.5693957260492075,23.808493171132174,48.231957608776774
2_电价压力,电价×0.90,0.9,0.25,100.0,100.0,532.5900763562163,6.549390417066238,236.46443463057082,613.0935385199999,260.3779544831579,132.49498130612145,152.52221273229344,64.77546943382788,72.0102531784882,64.90374543982092,0.9071050078364056,0.12299719000020559,100.0,100.0,523.9544982223699,0.0,627.75109818,627.75109818,929.5678843200001,130.34666721953627,156.16864397343085,231.25304980968733,0.0,0.0,0.8928651391894918,0.06906698700004199,1.6481542124639545,62.33149805454143,2.3349317432491667,71.98935560541332,72.0102531784882,0.0,21.390153494041844,6.5693957260492075,23.85377018185437,48.186680598054586
2_电价压力,电价×1.00,1.0,0.25,100.0,100.0,585.8225517033877,6.512358872187813,243.63196257630665,619.28929908,263.5077911228035,145.7378788724004,154.0635617284872,65.55409386839902,71.65376178258691,64.536766864873,0.9071050078364056,0.11666784000044572,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07284493400038627,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0,21.390153494041844,6.5693957260492075,24.748613080578153,47.2918376993308
2_电价压力,电价×1.10,1.1,0.25,100.0,100.0,639.6795211503918,6.480389752651698,247.65330905504737,620.1850740900001,266.3473361051552,159.13613482359176,154.28640796328085,66.26050105857531,71.33503522867527,64.21995637348735,0.9071050078364056,0.13030936599989218,100.0,100.0,622.91497341687,0.0,627.0047833950001,627.0047833950001,930.0888180000002,154.96553807917755,155.9829796738563,231.38264497350553,0.0,0.0,0.9632833296017115,0.07626166499994724,2.6913059484769435,60.50216591425414,1.0876646375923713,71.36323639737006,71.33503522867527,0.0,21.390153494041844,6.096972410876434,25.333980147772223,47.178893947309504
2_电价压力,电价×1.25,1.25,0.25,100.0,100.0,712.2241423440728,6.453016602822818,250.7571027107126,620.25434499,270.0960776291291,177.18340730504087,154.30364081647886,67.19309342217805,70.96124356892282,63.94869144114338,0.9632833296017115,0.11692717200003244,100.0,100.0,703.8335596226251,0.0,626.667177315,626.667177315,930.12466248,175.09604189930224,155.89899179416375,231.3915621762818,0.0,0.0,0.9632833296017115,0.10031584999978804,1.1921259801744137,59.98560132268308,1.0233234733110148,70.96130351936165,70.96124356892282,0.0,21.5921586188024,7.324924745627784,23.942085230241062,47.14083140532876
2_电价压力,电价×1.50,1.5,0.25,100.0,100.0,846.5782074943035,6.429596936503412,253.67635071788627,622.55902323,272.24679167038926,210.60731086755317,154.87698664825731,67.72813684364237,70.72231224065116,63.7166050996238,0.9632833296017115,0.11325577499974315,100.0,100.0,838.6803565471499,0.0,626.667177315,626.667177315,930.12466248,208.64252470262707,155.89899179416375,231.3915621762818,0.0,0.0,0.9632833296017115,0.09991249999984575,0.9416997650534,59.51976425432386,0.6555559687363397,70.73007494022413,70.72231224065116,0.0,21.5921586188024,7.324924745627784,24.27494589148444,46.80797074408538
3_绿电比例压力,绿电可得量×0.40,0.4,0.25,100.0,100.0,580.9321265296218,2.691009754421673,460.24611216887877,610.61873469,654.0271580266692,144.5212644052098,151.90654394357787,162.70546509109366,29.61915501870456,66.66903366378321,0.9071050078364056,0.1363798450001923,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07268661499983864,1.053760541815396,26.576935434575613,2.5879902152203416,29.67609862002649,29.61915501870456,0.0,21.202577306764187,4.910565465084459,25.298654128417546,48.58820309973381
3_绿电比例压力,绿电可得量×0.60,0.6,0.25,100.0,100.0,582.9474116988965,4.0558271686966245,382.29011816585853,609.7372088850001,514.86714549707,145.02261653827316,151.687242551683,128.0859630064607,44.62036098867492,66.98800889394107,0.9071050078364056,0.1266862630000105,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.08498916300050041,1.4043215378751988,39.01325554594542,2.7286200312802475,44.63920049899824,44.62036098867492,0.0,20.016170360972207,6.096972410876434,25.298654128417546,48.58820309973381
3_绿电比例压力,绿电可得量×0.80,0.8,0.25,100.0,100.0,584.2968135968332,5.405229066633274,306.7228012044706,609.7372088850001,376.84778358730813,145.35831370421502,151.687242551683,93.7502260336115,59.46586532116985,66.95653889988942,0.9071050078364056,0.11595092700008536,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.08222039599968411,1.6390514315090132,51.06850999697269,2.7286200312802475,59.479654563251614,59.46586532116985,0.0,20.016170360972207,6.096972410876434,25.298654128417546,48.58820309973381
3_绿电比例压力,绿电可得量×1.00,1.0,0.25,100.0,100.0,585.8225517033877,6.512358872187813,243.63196257630665,619.28929908,263.5077911228035,145.7378788724004,154.0635617284872,65.55409386839902,71.65376178258691,64.536766864873,0.9071050078364056,0.12980277000042406,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07561961600003997,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0,21.390153494041844,6.5693957260492075,24.748613080578153,47.2918376993308
3_绿电比例压力,绿电可得量×1.20,1.2,0.25,100.0,100.0,589.189955435294,7.285287360794111,187.41858393700116,614.14569642,185.3105659450855,146.57560400907877,152.78396308679754,46.10059605072157,80.0840574224452,60.16366997667508,0.9071050078364056,0.14679918500041822,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07981759199992666,2.490218652359455,70.10111237155317,2.025333992876082,80.07458588797948,80.0840574224452,0.0,21.9737791377466,6.664676468393163,23.287807547826954,48.07373684603329
