指标,均值,标准差,P05,中位数,P95,最小值,最大值
相对成本优先_现金成本变化_%,1.9390879026287615,0.6837730487158865,1.0678995846257766,1.9013606309365159,2.89882622891773,0.2884306446833157,3.4077383327719164
相对成本优先_调度碳下降_%,60.32219522507226,4.412633288075219,53.02159306064206,60.51652219482662,66.83346291610778,51.440656548981565,69.5093846443233
相对成本优先_位置法碳排下降_%,2.3008632292162825,1.6314686632505226,0.43283923189554496,1.9894666420025144,4.9254929004135395,0.12498902529921307,7.3524910159378605
相对成本优先_市场法碳排下降_%,69.91007160718736,4.323551161099251,62.0569913666824,70.59927102670562,76.16584624423275,60.899299427224186,78.13908476558736
协同_任务完成率_%,100.0,7.032549253059891e-15,99.99999999999999,100.0,100.00000000000001,99.99999999999997,100.00000000000001
协同_SLA满足率_%,100.0,7.032549253059891e-15,99.99999999999999,100.0,100.00000000000001,99.99999999999997,100.00000000000001
协同_绿电占比_%,69.93934795733082,4.330714116323911,62.045006748765594,70.63492473381906,76.19501345100883,60.92012909178205,78.16822986413892
协同_求解时间_s,0.08476063616000828,0.04332634535519722,0.04120212534999155,0.07106501399994158,0.15996845865020073,0.038522566000210645,0.22291195599973435
调度碳减排胜率_%,100.0,,,,,,
市场法减排胜率_%,100.0,,,,,,
完整完成场景占比_%,100.0,,,,,,
SLA全满足场景占比_%,100.0,,,,,,
成本增幅不超过5%的场景占比_%,100.0,,,,,,
