task_id,batch,type,arrival,node_i,node,exec_hour,workload_cu,delay_h
0,00_实时型,实时型,0,3,四川_天府,0,46.41,0
1,00_交互型,交互型,0,3,四川_天府,0,47.69,0
2,00_批处理,批处理,0,0,安徽_芜湖,0,59.51,0
3,01_实时型,实时型,1,3,四川_天府,1,43.21,0
4,01_交互型,交互型,1,3,四川_天府,1,43.8,0
5,01_批处理,批处理,1,0,安徽_芜湖,1,56.95,0
6,02_实时型,实时型,2,3,四川_天府,2,45.52,0
7,02_交互型,交互型,2,3,四川_天府,2,44.09,0
8,02_批处理,批处理,2,0,安徽_芜湖,2,59.48,0
9,03_实时型,实时型,3,0,安徽_芜湖,3,46.37,0
10,03_交互型,交互型,3,1,江苏_长三角,3,47.69,0
11,03_批处理,批处理,3,3,四川_天府,3,64.97,0
12,04_实时型,实时型,4,3,四川_天府,4,44.56,0
13,04_交互型,交互型,4,3,四川_天府,4,43.25,0
14,04_批处理,批处理,4,0,安徽_芜湖,4,61.33,0
15,05_实时型,实时型,5,3,四川_天府,5,44.21,0
16,05_交互型,交互型,5,3,四川_天府,5,43.99,0
17,05_批处理,批处理,5,0,安徽_芜湖,5,59.36,0
18,06_实时型,实时型,6,1,江苏_长三角,6,48.24,0
19,06_交互型,交互型,6,2,内蒙古_和林格尔,6,47.86,0
20,06_批处理,批处理,6,3,四川_天府,6,62.41,0
21,07_实时型,实时型,7,1,江苏_长三角,7,46.28,0
22,07_交互型,交互型,7,2,内蒙古_和林格尔,7,46.79,0
23,07_批处理,批处理,7,3,四川_天府,7,65.23,0
24,08_实时型,实时型,8,0,安徽_芜湖,8,53.16,0
25,08_交互型,交互型,8,2,内蒙古_和林格尔,8,51.24,0
26,08_批处理,批处理,8,3,四川_天府,8,67.14,0
27,09_实时型,实时型,9,0,安徽_芜湖,9,52.27,0
28,09_交互型,交互型,9,2,内蒙古_和林格尔,9,56.07,0
29,09_批处理,批处理,9,3,四川_天府,9,69.53,0
30,10_实时型,实时型,10,0,安徽_芜湖,10,55.23,0
31,10_交互型,交互型,10,2,内蒙古_和林格尔,10,57.82,0
32,10_批处理,批处理,10,2,内蒙古_和林格尔,11,76.07,1
33,11_实时型,实时型,11,0,安徽_芜湖,11,54.15,0
34,11_交互型,交互型,11,1,江苏_长三角,11,53.32,0
35,11_批处理,批处理,11,3,四川_天府,12,73.08,1
36,12_实时型,实时型,12,0,安徽_芜湖,12,49.62,0
37,12_交互型,交互型,12,2,内蒙古_和林格尔,12,49.55,0
38,12_批处理,批处理,12,1,江苏_长三角,12,68.54,0
39,13_实时型,实时型,13,0,安徽_芜湖,13,50.97,0
40,13_交互型,交互型,13,3,四川_天府,13,50.61,0
41,13_批处理,批处理,13,2,内蒙古_和林格尔,13,68.17,0
42,14_实时型,实时型,14,0,安徽_芜湖,14,48.66,0
43,14_交互型,交互型,14,3,四川_天府,14,47.9,0
44,14_批处理,批处理,14,2,内蒙古_和林格尔,14,66.31,0
45,15_实时型,实时型,15,0,安徽_芜湖,15,48.25,0
46,15_交互型,交互型,15,2,内蒙古_和林格尔,15,46.68,0
47,15_批处理,批处理,15,3,四川_天府,15,60.06,0
48,16_实时型,实时型,16,2,内蒙古_和林格尔,16,46.68,0
49,16_交互型,交互型,16,3,四川_天府,16,46.76,0
50,16_批处理,批处理,16,3,四川_天府,22,59.5,6
51,17_实时型,实时型,17,2,内蒙古_和林格尔,17,50.27,0
52,17_交互型,交互型,17,3,四川_天府,17,47.15,0
53,17_批处理,批处理,17,3,四川_天府,23,63.21,6
54,18_实时型,实时型,18,2,内蒙古_和林格尔,18,53.94,0
55,18_交互型,交互型,18,3,四川_天府,18,54.47,0
56,18_批处理,批处理,18,3,四川_天府,24,72.34,6
57,19_实时型,实时型,19,3,四川_天府,19,61.56,0
58,19_交互型,交互型,19,2,内蒙古_和林格尔,19,59.6,0
59,19_批处理,批处理,19,3,四川_天府,25,80.57,6
60,20_实时型,实时型,20,3,四川_天府,20,58.97,0
61,20_交互型,交互型,20,2,内蒙古_和林格尔,20,57.8,0
62,20_批处理,批处理,20,3,四川_天府,26,76.32,6
63,21_实时型,实时型,21,2,内蒙古_和林格尔,21,57.52,0
64,21_交互型,交互型,21,3,四川_天府,21,59.33,0
65,21_批处理,批处理,21,3,四川_天府,27,74.78,6
66,22_实时型,实时型,22,2,内蒙古_和林格尔,22,53.09,0
67,22_交互型,交互型,22,0,安徽_芜湖,24,53.3,2
68,22_批处理,批处理,22,3,四川_天府,28,73.45,6
69,23_实时型,实时型,23,0,安徽_芜湖,23,51.21,0
70,23_交互型,交互型,23,2,内蒙古_和林格尔,23,49.36,0
71,23_批处理,批处理,23,3,四川_天府,29,64.92,6
