batch,arrival,type,demand_cu,share,max_defer,max_latency,data_gb_per_cu,delay_penalty,task_source_type
00_实时型,0,实时型,46.41,0.3,0,25,5.0,0.25,合成业务负载情景
00_交互型,0,交互型,47.69,0.3,2,60,3.0,0.035,合成业务负载情景
00_批处理,0,批处理,59.51,0.4,6,120,1.5,0.006,合成业务负载情景
01_实时型,1,实时型,43.21,0.3,0,25,5.0,0.25,合成业务负载情景
01_交互型,1,交互型,43.8,0.3,2,60,3.0,0.035,合成业务负载情景
01_批处理,1,批处理,56.95,0.4,6,120,1.5,0.006,合成业务负载情景
02_实时型,2,实时型,45.52,0.3,0,25,5.0,0.25,合成业务负载情景
02_交互型,2,交互型,44.09,0.3,2,60,3.0,0.035,合成业务负载情景
02_批处理,2,批处理,59.48,0.4,6,120,1.5,0.006,合成业务负载情景
03_实时型,3,实时型,46.37,0.3,0,25,5.0,0.25,合成业务负载情景
03_交互型,3,交互型,47.69,0.3,2,60,3.0,0.035,合成业务负载情景
03_批处理,3,批处理,64.97,0.4,6,120,1.5,0.006,合成业务负载情景
04_实时型,4,实时型,44.56,0.3,0,25,5.0,0.25,合成业务负载情景
04_交互型,4,交互型,43.25,0.3,2,60,3.0,0.035,合成业务负载情景
04_批处理,4,批处理,61.33,0.4,6,120,1.5,0.006,合成业务负载情景
05_实时型,5,实时型,44.21,0.3,0,25,5.0,0.25,合成业务负载情景
05_交互型,5,交互型,43.99,0.3,2,60,3.0,0.035,合成业务负载情景
05_批处理,5,批处理,59.36,0.4,6,120,1.5,0.006,合成业务负载情景
06_实时型,6,实时型,48.24,0.3,0,25,5.0,0.25,合成业务负载情景
06_交互型,6,交互型,47.86,0.3,2,60,3.0,0.035,合成业务负载情景
06_批处理,6,批处理,62.41,0.4,6,120,1.5,0.006,合成业务负载情景
07_实时型,7,实时型,46.28,0.3,0,25,5.0,0.25,合成业务负载情景
07_交互型,7,交互型,46.79,0.3,2,60,3.0,0.035,合成业务负载情景
07_批处理,7,批处理,65.23,0.4,6,120,1.5,0.006,合成业务负载情景
08_实时型,8,实时型,53.16,0.3,0,25,5.0,0.25,合成业务负载情景
08_交互型,8,交互型,51.24,0.3,2,60,3.0,0.035,合成业务负载情景
08_批处理,8,批处理,67.14,0.4,6,120,1.5,0.006,合成业务负载情景
09_实时型,9,实时型,52.27,0.3,0,25,5.0,0.25,合成业务负载情景
